date,Positive,Negative
2016-10-31,39.62264150943396,86.79245283018868
2016-11-01,36.3951473136915,87.8682842287695
2016-11-02,33.49616189811584,89.11374738311235
2016-11-03,32.10749646393211,86.35077793493635
2016-11-04,36.28013777267508,88.17451205510906
2016-11-05,41.433370660694294,87.79395296752519
2016-11-06,37.37864077669903,85.76051779935275
2016-11-07,36.52482269503546,90.30732860520094
2016-11-08,38.61788617886179,86.70150987224157
2016-11-09,39.8562741846324,85.51686014372581
2016-11-10,40.65934065934066,84.66316292403249
2016-11-11,37.72590361445783,88.1024096385542
2016-11-12,39.47583947583947,86.65028665028665
2016-11-13,39.0990990990991,87.38738738738738
2016-11-14,37.64367816091954,87.93103448275862
2016-11-15,37.55912961210974,87.41721854304636
2016-11-16,37.18006286484059,85.90031432420297
2016-11-17,40.725806451612904,84.97983870967742
2016-11-18,36.92762186115214,89.21713441654357
2016-11-19,39.438085327783554,87.20083246618107
2016-11-20,37.212276214833764,87.21227621483376
2016-11-21,38.24324324324324,86.48648648648648
2016-11-22,38.10375670840787,87.3881932021467
2016-11-23,37.97909407665505,84.66898954703834
2016-11-24,39.175257731958766,88.91752577319588
2016-11-25,40.97222222222222,84.72222222222221
2016-11-26,39.263803680981596,87.73006134969326
2016-11-27,37.89682539682539,88.29365079365078
2016-11-28,40.58441558441558,84.74025974025975
2016-11-29,36.73857868020304,86.61167512690355
2016-11-30,37.2528616024974,87.51300728407908
2016-12-01,36.64596273291926,86.5424430641822
2016-12-02,37.025948103792416,89.12175648702595
2016-12-03,40.45112781954887,90.37593984962406
2016-12-04,37.848101265822784,87.9746835443038
2016-12-05,38.63945578231293,87.89115646258503
2016-12-06,39.795918367346935,88.70262390670554
2016-12-07,40.1062416998672,89.50863213811421
2016-12-08,38.648947951273534,88.59357696566998
2016-12-09,39.411764705882355,88.67647058823529
2016-12-10,43.73673036093418,85.13800424628451
2016-12-11,34.47488584474886,89.95433789954338
2016-12-12,36.677115987460816,88.87147335423198
2016-12-13,40.85850556438791,85.85055643879174
2016-12-14,38.489646772228994,86.96711327649209
2016-12-15,39.59131545338442,86.59003831417624
2016-12-16,40.02541296060991,87.67471410419314
2016-12-17,40.802675585284284,86.45484949832776
2016-12-18,41.63424124513619,89.49416342412452
2016-12-19,39.81670061099796,85.03054989816701
2016-12-20,36.666666666666664,87.70114942528735
2016-12-21,37.9746835443038,86.23417721518987
2016-12-22,36.75832127351664,85.23878437047757
2016-12-23,35.800344234079176,85.02581755593803
2016-12-24,41.723356009070294,86.84807256235828
2016-12-25,36.774193548387096,82.25806451612904
2016-12-26,39.94169096209912,90.96209912536443
2016-12-27,38.675213675213676,88.67521367521367
2016-12-28,39.036144578313255,82.65060240963855
2016-12-29,41.988950276243095,85.91160220994475
2016-12-30,39.473684210526315,86.8421052631579
2016-12-31,34.748010610079575,86.47214854111405
2017-01-01,37.850467289719624,90.65420560747664
2017-01-02,42.086330935251794,86.6906474820144
2017-01-03,41.645244215938305,87.27506426735219
2017-01-04,35.130970724191066,89.06009244992296
2017-01-05,35.914332784184516,89.04448105436573
2017-01-06,35.075653370013754,88.17056396148556
2017-01-07,40.18058690744921,90.06772009029346
2017-01-08,40.77669902912621,89.90291262135922
2017-01-09,39.735099337748345,90.50772626931567
2017-01-10,39.24162257495591,92.15167548500882
2017-01-11,39.724137931034484,91.10344827586206
2017-01-12,39.48256467941507,87.28908886389202
2017-01-13,35.70287539936102,88.73801916932908
2017-01-14,39.906103286384976,90.14084507042254
2017-01-15,35.294117647058826,89.2156862745098
2017-01-16,36.9098712446352,87.76824034334764
2017-01-17,39.411764705882355,88.8235294117647
2017-01-18,35.13513513513514,88.12741312741312
2017-01-19,39.63963963963964,88.41698841698842
2017-01-20,42.031334413830365,89.84332793084819
2017-01-21,42.57294429708223,89.65517241379311
2017-01-22,37.5,89.85849056603774
2017-01-23,38.30171635049684,88.43721770551039
2017-01-24,38.01478352692714,91.129883843717
2017-01-25,36.15179760319574,85.08655126498003
2017-01-26,39.59881129271917,88.7072808320951
2017-01-27,34.17172593235039,88.63833477883782
2017-01-28,40.12829650748396,89.87883107626514
2017-01-29,40.55636896046852,90.3367496339678
2017-01-30,39.80061349693251,88.88036809815951
2017-01-31,36.875800256081945,89.24455825864277
2017-02-01,38.60933211344923,83.44007319304666
2017-02-02,36.43595863166269,89.8170246618934
2017-02-03,37.94749403341289,88.06682577565633
2017-02-04,36.36363636363637,84.55988455988455
2017-02-05,40.292275574112736,89.35281837160751
2017-02-06,40.53826745164003,90.15979814970564
2017-02-07,35.08982035928144,88.38323353293414
2017-02-08,38.91687657430731,89.54659949622166
2017-02-09,35.991379310344826,89.65517241379311
2017-02-10,34.74178403755869,89.2018779342723
2017-02-11,38.92733564013841,88.49480968858131
2017-02-12,40.691927512355846,85.667215815486
2017-02-13,36.27450980392157,90.0326797385621
2017-02-14,36.68341708542713,86.4321608040201
2017-02-15,37.96109993293092,90.87860496311201
2017-02-16,40.372093023255815,88.27906976744187
2017-02-17,34.94913225613405,88.50987432675045
2017-02-18,39.52802359882006,91.1504424778761
2017-02-19,41.05263157894737,88.81578947368422
2017-02-20,36.53846153846153,89.49704142011834
2017-02-21,38.54166666666667,86.60714285714286
2017-02-22,35.99632690541782,91.00091827364555
2017-02-23,37.27915194346289,88.16254416961131
2017-02-24,40.14360313315927,87.0757180156658
2017-02-25,38.21989528795812,87.95811518324608
2017-02-26,36.96682464454976,87.67772511848341
2017-02-27,35.245046923879045,89.4681960375391
2017-02-28,36.63890991672975,89.32626797880394
