date,Positive,Negative
2016-10-31,51.61290322580645,91.93548387096774
2016-11-01,42.922374429223744,90.6392694063927
2016-11-02,45.23570712136409,90.47141424272819
2016-11-03,44.38073394495412,90.36697247706422
2016-11-04,42.4203821656051,92.10191082802548
2016-11-05,46.496212121212125,90.05681818181817
2016-11-06,45.77397910731244,91.92782526115859
2016-11-07,45.094936708860764,90.58544303797468
2016-11-08,48.16326530612245,91.11459968602826
2016-11-09,45.92274678111588,88.04414469650521
2016-11-10,45.517774343122106,88.79443585780525
2016-11-11,48.29931972789115,88.77551020408163
2016-11-12,47.50809061488673,90.16181229773463
2016-11-13,45.967166309778726,88.72234118486794
2016-11-14,49.220898258478464,89.73418881759854
2016-11-15,48.7473903966597,89.97912317327767
2016-11-16,47.51381215469613,90.42357274401473
2016-11-17,44.794520547945204,92.73972602739727
2016-11-18,43.83233532934131,90.41916167664671
2016-11-19,42.977824709609294,92.08025343189018
2016-11-20,47.95518207282913,88.12324929971989
2016-11-21,45.86666666666667,90.4
2016-11-22,43.36283185840708,86.72566371681415
2016-11-23,48.0,89.0
2016-11-24,45.20795660036166,86.88969258589512
2016-11-25,48.97400820793434,86.73050615595075
2016-11-26,46.864686468646866,88.61386138613861
2016-11-27,48.54014598540146,89.96350364963503
2016-11-28,44.41087613293052,91.23867069486404
2016-11-29,47.878787878787875,92.96969696969697
2016-11-30,45.29100529100529,90.26455026455027
2016-12-01,47.363945578231295,87.92517006802721
2016-12-02,47.671232876712324,87.57990867579909
2016-12-03,47.46588693957115,90.25341130604289
2016-12-04,40.25974025974026,90.9090909090909
2016-12-05,46.20786516853933,90.87078651685393
2016-12-06,46.34146341463415,87.88617886178862
2016-12-07,44.86166007905138,89.03162055335969
2016-12-08,43.843283582089555,92.3507462686567
2016-12-09,46.33550488599349,90.55374592833876
2016-12-10,45.78512396694215,90.08264462809917
2016-12-11,43.91891891891892,90.67567567567568
2016-12-12,47.63995609220636,92.53567508232712
2016-12-13,46.88221709006928,93.22555812163202
2016-12-14,46.25884732052578,89.98988877654196
2016-12-15,48.102310231023104,90.5940594059406
2016-12-16,47.06723891273247,90.70100143061516
2016-12-17,44.680851063829785,89.71631205673759
2016-12-18,45.95404595404595,88.21178821178822
2016-12-19,46.34730538922155,88.38323353293414
2016-12-20,45.360059391239794,88.64142538975501
2016-12-21,48.08743169398907,89.98178506375227
2016-12-22,45.680238331678254,90.56603773584906
2016-12-23,44.533762057877816,90.83601286173634
2016-12-24,45.58011049723757,88.67403314917127
2016-12-25,45.19774011299435,90.01883239171374
2016-12-26,47.82608695652174,85.92132505175984
2016-12-27,43.42629482071713,92.43027888446214
2016-12-28,47.49498997995992,90.18036072144288
2016-12-29,46.910755148741416,89.47368421052632
2016-12-30,45.06437768240343,91.55937052932761
2016-12-31,41.77777777777778,92.0
2017-01-01,50.306748466257666,93.55828220858896
2017-01-02,45.22613065326633,91.70854271356784
2017-01-03,49.63503649635037,87.8345498783455
2017-01-04,44.50934579439252,89.83644859813083
2017-01-05,45.654450261780106,90.47120418848168
2017-01-06,44.09221902017291,91.78674351585015
2017-01-07,42.97994269340974,88.96848137535817
2017-01-08,48.529411764705884,92.3529411764706
2017-01-09,48.12433011789925,91.96141479099678
2017-01-10,41.243862520458265,94.27168576104746
2017-01-11,49.71857410881801,94.18386491557223
2017-01-12,47.09944751381215,91.9889502762431
2017-01-13,47.24943481537302,92.69027882441597
