date,pos_percentage,neg_percentage
2016-10-31,32.5,97.5
2016-11-01,30.81510934393638,97.61431411530815
2016-11-02,32.05882352941177,97.20588235294117
2016-11-03,32.70042194092827,97.9957805907173
2016-11-04,31.73996175908222,97.80114722753346
2016-11-05,32.87858117326057,98.63574351978171
2016-11-06,33.383685800604226,97.73413897280967
2016-11-07,31.567328918322296,97.7924944812362
2016-11-08,30.82094112853942,98.2481157058464
2016-11-09,28.9395070948469,97.98356982823002
2016-11-10,28.819068255687974,97.670639219935
2016-11-11,29.43201376936317,97.877223178428
2016-11-12,29.62515114873035,97.90407093913744
2016-11-13,26.139534883720934,98.04651162790698
2016-11-14,27.800829875518673,98.58921161825727
2016-11-15,28.703703703703702,97.91666666666666
2016-11-16,26.299212598425196,98.03149606299213
2016-11-17,28.267477203647417,98.0243161094225
2016-11-18,26.973684210526315,98.1203007518797
2016-11-19,31.585081585081586,97.2027972027972
2016-11-20,25.60054907343857,98.00960878517502
2016-11-21,30.613772455089823,97.82934131736528
2016-11-22,28.916929547844372,98.9484752891693
2016-11-23,28.672086720867206,97.289972899729
2016-11-24,26.574803149606304,97.44094488188976
2016-11-25,26.558265582655828,98.3739837398374
2016-11-26,29.3354943273906,96.92058346839546
2016-11-27,26.51321398124467,97.35720375106564
2016-11-28,28.654970760233915,97.36842105263158
2016-11-29,25.89118198874296,98.49906191369607
2016-11-30,28.26855123674912,98.23321554770318
2016-12-01,24.8868778280543,98.0392156862745
2016-12-02,29.447852760736197,98.15950920245399
2016-12-03,30.29126213592233,98.44660194174757
2016-12-04,28.23741007194245,98.92086330935251
2016-12-05,28.482328482328484,98.85654885654886
2016-12-06,27.014218009478675,98.81516587677726
2016-12-07,27.39628040057225,98.068669527897
2016-12-08,28.24267782426778,98.74476987447699
2016-12-09,32.71028037383177,97.59679572763686
2016-12-10,26.509186351706038,97.3753280839895
2016-12-11,28.345802161263506,98.08811305070657
2016-12-12,28.20936639118457,97.19008264462809
2016-12-13,28.825136612021858,98.36065573770492
2016-12-14,29.143897996357016,96.35701275045537
2016-12-15,29.78723404255319,97.38134206219313
2016-12-16,30.65134099616858,98.27586206896551
2016-12-17,29.11111111111111,98.22222222222223
2016-12-18,29.554655870445345,98.24561403508771
2016-12-19,29.001673173452314,98.04796430563302
2016-12-20,32.461355529131986,97.50297265160523
2016-12-21,31.259720062208395,98.60031104199068
2016-12-22,30.749354005167955,98.70801033591732
2016-12-23,29.239766081871345,97.85575048732943
2016-12-24,31.654676258992804,97.12230215827337
2016-12-25,32.11678832116788,98.54014598540147
2016-12-26,29.69187675070028,98.59943977591037
2016-12-27,28.624078624078624,97.91154791154791
2016-12-28,29.497907949790797,98.32635983263597
2016-12-29,28.000000000000004,96.47058823529412
2016-12-30,25.349301397205586,98.60279441117764
2016-12-31,28.361858190709043,97.1882640586797
2017-01-01,31.317494600431967,97.8401727861771
2017-01-02,31.025641025641026,97.43589743589743
2017-01-03,28.78787878787879,98.23232323232324
2017-01-04,30.90507726269316,98.01324503311258
2017-01-05,29.3354943273906,97.08265802269044
2017-01-06,29.137760158572846,97.7205153617443
2017-01-07,29.172714078374458,97.82293178519593
2017-01-08,31.27147766323024,97.42268041237114
2017-01-09,29.11392405063291,97.94303797468355
2017-01-10,29.770229770229772,98.8011988011988
2017-01-11,28.57944974733296,98.48399775407076
2017-01-12,29.071170084439085,98.67310012062727
2017-01-13,31.5136476426799,97.39454094292805
2017-01-14,29.310344827586203,99.04214559386973
2017-01-15,24.825986078886313,98.14385150812065
2017-01-16,28.45744680851064,97.73936170212765
2017-01-17,27.978339350180505,97.47292418772562
2017-01-18,24.406047516198704,97.8401727861771
2017-01-19,27.717391304347828,98.30163043478261
2017-01-20,31.66089965397924,98.26989619377161
2017-01-21,29.725829725829726,98.7012987012987
2017-01-22,32.470892626131956,97.67141009055628
