comment_score,Positive,Negative
26,0.4527027027027027,0.9290540540540541
29,0.44879898862199746,0.9266750948166877
-279,1.0,1.0
964,1.0,1.0
8484,0.0,1.0
1677,0.0,1.0
1697,0.0,1.0
-91,0.5,1.0
1806,1.0,1.0
65,0.436241610738255,0.9194630872483222
2173,1.0,0.0
541,0.0,0.6666666666666666
191,0.55,0.9
418,0.3333333333333333,1.0
558,0.0,1.0
1258,0.0,1.0
3800,0.0,1.0
1127,0.0,1.0
938,1.0,1.0
222,0.625,0.875
-58,0.3333333333333333,0.5555555555555556
270,0.42857142857142855,0.8571428571428571
293,0.45454545454545453,1.0
-109,0.2,0.8
730,0.5,1.0
1145,0.0,1.0
278,0.21428571428571427,1.0
243,0.3333333333333333,0.8666666666666667
442,1.0,1.0
705,0.0,1.0
2371,1.0,1.0
367,0.25,0.75
720,0.0,1.0
1532,0.0,1.0
19,0.4614035087719298,0.92046783625731
54,0.47029702970297027,0.9207920792079208
1447,0.0,1.0
1217,0.0,1.0
296,0.2222222222222222,0.7777777777777778
-159,0.0,1.0
965,1.0,1.0
1782,0.0,1.0
926,1.0,0.0
0,0.4577311746169727,0.90068455938281
1077,0.0,1.0
277,0.2,1.0
287,0.42857142857142855,1.0
415,0.75,1.0
1336,0.0,1.0
348,0.5,0.75
6262,0.0,1.0
502,0.5,0.75
656,0.0,1.0
-3,0.4552069122328331,0.889949977262392
-30,0.5645161290322581,0.9354838709677419
112,0.4375,0.96875
299,0.5,1.0
113,0.30434782608695654,0.8913043478260869
155,0.6071428571428571,0.9285714285714286
167,0.5,0.8333333333333334
385,0.14285714285714285,1.0
-118,0.0,1.0
7139,0.0,1.0
-35,0.3541666666666667,0.8541666666666666
241,0.11764705882352941,1.0
237,0.4166666666666667,1.0
1740,1.0,0.0
602,1.0,1.0
347,0.0,1.0
857,1.0,1.0
22,0.4598976109215017,0.924061433447099
198,0.5555555555555556,0.8888888888888888
330,0.25,0.875
414,0.625,0.75
724,0.5,1.0
7392,0.0,1.0
2681,0.0,1.0
-141,0.0,1.0
530,0.0,1.0
1526,1.0,1.0
196,0.4090909090909091,0.8181818181818182
427,0.75,0.5
130,0.22448979591836735,0.9591836734693877
486,0.5,1.0
-60,0.6875,0.9375
1428,1.0,1.0
487,0.3333333333333333,0.6666666666666666
1157,1.0,1.0
1050,0.0,1.0
7,0.44743326488706364,0.9184804928131417
77,0.5,0.8823529411764706
-25,0.4725274725274725,0.9230769230769231
1873,0.0,1.0
677,0.0,1.0
7881,1.0,0.0
1760,0.0,1.0
-209,1.0,1.0
5099,0.0,1.0
34,0.43702290076335876,0.9255725190839694
532,0.5,0.75
184,0.34615384615384615,0.9230769230769231
858,1.0,1.0
4179,1.0,1.0
635,1.0,1.0
1529,1.0,1.0
1427,0.0,0.5
1041,0.0,1.0
-49,0.5,0.9444444444444444
463,1.0,1.0
939,0.0,1.0
830,1.0,1.0
1329,0.0,1.0
853,0.0,1.0
1471,1.0,1.0
188,0.5882352941176471,0.9411764705882353
-65,0.42857142857142855,1.0
399,0.2857142857142857,1.0
1199,1.0,1.0
1483,1.0,1.0
1445,0.0,0.0
3787,0.0,1.0
1052,0.0,1.0
228,0.5555555555555556,0.9444444444444444
126,0.39473684210526316,0.9210526315789473
1591,0.0,1.0
202,0.6666666666666666,0.9333333333333333
274,0.18181818181818182,0.9090909090909091
1768,1.0,1.0
529,1.0,1.0
2497,0.0,1.0
-7,0.44785276073619634,0.8936605316973415
262,0.7,0.9
624,0.0,1.0
6728,1.0,1.0
325,0.42857142857142855,0.8571428571428571
406,0.6,1.0
-185,0.0,1.0
-90,0.3333333333333333,1.0
734,0.0,1.0
570,1.0,0.75
691,1.0,1.0
94,0.4936708860759494,0.9493670886075949
50,0.4959016393442623,0.9057377049180327
149,0.30434782608695654,0.9130434782608695
-107,0.5,0.5
421,1.0,1.0
2477,1.0,1.0
-79,0.5,0.5
3339,0.0,1.0
6761,0.0,1.0
-13,0.4388888888888889,0.8916666666666667
264,0.375,1.0
600,0.5,1.0
638,1.0,1.0
1064,0.0,1.0
1110,1.0,1.0
876,0.0,1.0
1846,0.0,1.0
229,0.6818181818181818,0.9545454545454546
1185,0.0,1.0
650,0.0,1.0
5794,1.0,1.0
2153,0.0,1.0
1343,1.0,1.0
-116,1.0,1.0
902,1.0,1.0
110,0.47368421052631576,0.8947368421052632
275,0.2222222222222222,1.0
343,0.0,1.0
190,0.5,0.875
439,0.5,0.8333333333333334
629,1.0,1.0
737,1.0,1.0
57,0.44623655913978494,0.9247311827956989
-26,0.4945054945054945,0.9340659340659341
136,0.5172413793103449,0.896551724137931
513,0.6666666666666666,0.6666666666666666
828,0.0,1.0
417,0.3333333333333333,1.0
144,0.5,1.0
-172,1.0,1.0
-61,0.3888888888888889,0.9444444444444444
1911,1.0,1.0
388,0.0,1.0
-233,1.0,1.0
412,0.0,1.0
963,0.5,1.0
1025,0.0,1.0
1256,0.0,1.0
32,0.41496598639455784,0.9183673469387755
43,0.42628205128205127,0.8974358974358975
420,0.3333333333333333,1.0
-41,0.5263157894736842,0.8947368421052632
555,0.5,0.5
696,0.5,1.0
2223,0.0,1.0
1128,0.0,1.0
752,0.0,1.0
1108,0.0,1.0
84,0.36904761904761907,0.9047619047619048
378,0.25,1.0
2821,1.0,1.0
2012,0.0,1.0
212,0.25,0.875
970,0.0,1.0
779,0.0,1.0
-154,0.0,1.0
3067,1.0,1.0
31,0.4611801242236025,0.9177018633540373
1361,1.0,0.0
1811,1.0,1.0
3408,0.0,1.0
376,0.75,0.5
662,0.0,1.0
5797,0.0,1.0
119,0.52,0.92
395,1.0,1.0
-111,0.5,0.5
768,0.5,1.0
974,0.0,1.0
3099,0.0,1.0
326,0.5,1.0
450,0.25,1.0
595,1.0,1.0
386,0.5555555555555556,0.7777777777777778
596,0.5,1.0
1513,0.0,1.0
39,0.4322429906542056,0.9299065420560748
98,0.48333333333333334,0.85
187,0.15,1.0
-50,0.625,0.8125
561,1.0,1.0
1297,0.0,1.0
1918,0.0,1.0
845,1.0,1.0
4758,0.0,1.0
496,0.5,1.0
232,0.4666666666666667,0.8
201,0.375,1.0
1252,0.0,1.0
402,0.0,1.0
5757,0.0,1.0
2862,0.5,1.0
1945,0.0,1.0
773,0.0,1.0
966,0.0,1.0
203,0.3333333333333333,0.9523809523809523
700,0.25,1.0
145,0.4864864864864865,0.9459459459459459
116,0.4482758620689655,0.896551724137931
488,0.6,0.8
25,0.45708376421923474,0.9307135470527405
880,0.5,0.5
-98,0.5,0.5
1472,1.0,1.0
1099,0.0,1.0
1805,0.0,1.0
1021,0.0,1.0
1731,0.0,1.0
