comment_score,Positive,Negative
26,45.27027027027027,92.9054054054054
29,44.879898862199745,92.66750948166877
-279,100.0,100.0
964,100.0,100.0
8484,0.0,100.0
1677,0.0,100.0
1697,0.0,100.0
-91,50.0,100.0
1806,100.0,100.0
65,43.624161073825505,91.94630872483222
2173,100.0,0.0
541,0.0,66.66666666666666
191,55.00000000000001,90.0
418,33.33333333333333,100.0
558,0.0,100.0
1258,0.0,100.0
3800,0.0,100.0
1127,0.0,100.0
938,100.0,100.0
222,62.5,87.5
-58,33.33333333333333,55.55555555555556
270,42.857142857142854,85.71428571428571
293,45.45454545454545,100.0
-109,20.0,80.0
730,50.0,100.0
1145,0.0,100.0
278,21.428571428571427,100.0
243,33.33333333333333,86.66666666666667
442,100.0,100.0
705,0.0,100.0
2371,100.0,100.0
367,25.0,75.0
720,0.0,100.0
1532,0.0,100.0
19,46.14035087719298,92.046783625731
54,47.02970297029702,92.07920792079209
1447,0.0,100.0
1217,0.0,100.0
296,22.22222222222222,77.77777777777779
-159,0.0,100.0
965,100.0,100.0
1782,0.0,100.0
926,100.0,0.0
0,45.77311746169727,90.068455938281
1077,0.0,100.0
277,20.0,100.0
287,42.857142857142854,100.0
415,75.0,100.0
1336,0.0,100.0
348,50.0,75.0
6262,0.0,100.0
502,50.0,75.0
656,0.0,100.0
-3,45.52069122328331,88.9949977262392
-30,56.451612903225815,93.54838709677419
112,43.75,96.875
299,50.0,100.0
113,30.434782608695656,89.13043478260869
155,60.71428571428571,92.85714285714286
167,50.0,83.33333333333334
385,14.285714285714285,100.0
-118,0.0,100.0
7139,0.0,100.0
-35,35.41666666666667,85.41666666666666
241,11.76470588235294,100.0
237,41.66666666666667,100.0
1740,100.0,0.0
602,100.0,100.0
347,0.0,100.0
857,100.0,100.0
22,45.989761092150175,92.4061433447099
198,55.55555555555556,88.88888888888889
330,25.0,87.5
414,62.5,75.0
724,50.0,100.0
7392,0.0,100.0
2681,0.0,100.0
-141,0.0,100.0
530,0.0,100.0
1526,100.0,100.0
196,40.909090909090914,81.81818181818183
427,75.0,50.0
130,22.448979591836736,95.91836734693877
486,50.0,100.0
-60,68.75,93.75
1428,100.0,100.0
487,33.33333333333333,66.66666666666666
1157,100.0,100.0
1050,0.0,100.0
7,44.743326488706366,91.84804928131418
77,50.0,88.23529411764706
-25,47.25274725274725,92.3076923076923
1873,0.0,100.0
677,0.0,100.0
7881,100.0,0.0
1760,0.0,100.0
-209,100.0,100.0
5099,0.0,100.0
34,43.70229007633588,92.55725190839695
532,50.0,75.0
184,34.61538461538461,92.3076923076923
858,100.0,100.0
4179,100.0,100.0
635,100.0,100.0
1529,100.0,100.0
1427,0.0,50.0
1041,0.0,100.0
-49,50.0,94.44444444444444
463,100.0,100.0
939,0.0,100.0
830,100.0,100.0
1329,0.0,100.0
853,0.0,100.0
1471,100.0,100.0
188,58.82352941176471,94.11764705882352
-65,42.857142857142854,100.0
399,28.57142857142857,100.0
1199,100.0,100.0
1483,100.0,100.0
1445,0.0,0.0
3787,0.0,100.0
1052,0.0,100.0
228,55.55555555555556,94.44444444444444
126,39.473684210526315,92.10526315789474
1591,0.0,100.0
202,66.66666666666666,93.33333333333333
274,18.181818181818183,90.9090909090909
1768,100.0,100.0
529,100.0,100.0
2497,0.0,100.0
-7,44.785276073619634,89.36605316973414
262,70.0,90.0
624,0.0,100.0
6728,100.0,100.0
325,42.857142857142854,85.71428571428571
406,60.0,100.0
-185,0.0,100.0
-90,33.33333333333333,100.0
734,0.0,100.0
570,100.0,75.0
691,100.0,100.0
94,49.36708860759494,94.9367088607595
50,49.59016393442623,90.57377049180327
149,30.434782608695656,91.30434782608695
-107,50.0,50.0
421,100.0,100.0
2477,100.0,100.0
-79,50.0,50.0
3339,0.0,100.0
6761,0.0,100.0
-13,43.888888888888886,89.16666666666667
264,37.5,100.0
600,50.0,100.0
638,100.0,100.0
1064,0.0,100.0
1110,100.0,100.0
876,0.0,100.0
1846,0.0,100.0
229,68.18181818181817,95.45454545454545
1185,0.0,100.0
650,0.0,100.0
5794,100.0,100.0
2153,0.0,100.0
1343,100.0,100.0
-116,100.0,100.0
902,100.0,100.0
110,47.368421052631575,89.47368421052632
275,22.22222222222222,100.0
343,0.0,100.0
190,50.0,87.5
439,50.0,83.33333333333334
629,100.0,100.0
737,100.0,100.0
57,44.623655913978496,92.47311827956989
-26,49.45054945054945,93.4065934065934
136,51.724137931034484,89.65517241379311
513,66.66666666666666,66.66666666666666
828,0.0,100.0
417,33.33333333333333,100.0
144,50.0,100.0
-172,100.0,100.0
-61,38.88888888888889,94.44444444444444
1911,100.0,100.0
388,0.0,100.0
-233,100.0,100.0
412,0.0,100.0
963,50.0,100.0
1025,0.0,100.0
1256,0.0,100.0
32,41.49659863945578,91.83673469387756
43,42.628205128205124,89.74358974358975
420,33.33333333333333,100.0
-41,52.63157894736842,89.47368421052632
555,50.0,50.0
696,50.0,100.0
2223,0.0,100.0
1128,0.0,100.0
752,0.0,100.0
1108,0.0,100.0
84,36.904761904761905,90.47619047619048
378,25.0,100.0
2821,100.0,100.0
2012,0.0,100.0
212,25.0,87.5
970,0.0,100.0
779,0.0,100.0
-154,0.0,100.0
3067,100.0,100.0
31,46.11801242236025,91.77018633540372
1361,100.0,0.0
1811,100.0,100.0
3408,0.0,100.0
376,75.0,50.0
662,0.0,100.0
5797,0.0,100.0
119,52.0,92.0
395,100.0,100.0
-111,50.0,50.0
768,50.0,100.0
974,0.0,100.0
3099,0.0,100.0
326,50.0,100.0
450,25.0,100.0
595,100.0,100.0
386,55.55555555555556,77.77777777777779
596,50.0,100.0
1513,0.0,100.0
39,43.22429906542056,92.99065420560748
98,48.333333333333336,85.0
187,15.0,100.0
-50,62.5,81.25
561,100.0,100.0
1297,0.0,100.0
1918,0.0,100.0
845,100.0,100.0
4758,0.0,100.0
496,50.0,100.0
232,46.666666666666664,80.0
201,37.5,100.0
1252,0.0,100.0
402,0.0,100.0
5757,0.0,100.0
2862,50.0,100.0
1945,0.0,100.0
773,0.0,100.0
966,0.0,100.0
203,33.33333333333333,95.23809523809523
700,25.0,100.0
145,48.64864864864865,94.5945945945946
116,44.827586206896555,89.65517241379311
488,60.0,80.0
25,45.708376421923475,93.07135470527405
880,50.0,50.0
-98,50.0,50.0
1472,100.0,100.0
1099,0.0,100.0
1805,0.0,100.0
1021,0.0,100.0
1731,0.0,100.0
157,32.25806451612903,90.32258064516128
2261,0.0,100.0
-15,45.64459930313589,87.8048780487805
124,51.11111111111111,93.33333333333333
363,75.0,100.0
181,42.10526315789473,94.73684210526315
843,50.0,100.0
586,33.33333333333333,100.0
-101,50.0,100.0
1592,100.0,100.0
1323,50.0,100.0
5706,0.0,100.0
1149,0.0,100.0
7070,0.0,100.0
-88,50.0,100.0
2373,100.0,100.0
852,0.0,100.0
1785,0.0,100.0
-112,100.0,100.0
227,22.22222222222222,100.0
95,42.857142857142854,96.42857142857143
925,0.0,100.0
699,60.0,100.0
-71,45.45454545454545,90.9090909090909
268,45.45454545454545,90.9090909090909
-149,100.0,0.0
562,50.0,100.0
1833,0.0,100.0
369,50.0,100.0
455,40.0,80.0
912,0.0,100.0
413,33.33333333333333,100.0
760,0.0,50.0
5441,100.0,100.0
1395,0.0,100.0
915,0.0,100.0
71,48.854961832061065,91.6030534351145
143,39.02439024390244,95.1219512195122
370,55.55555555555556,100.0
1960,50.0,100.0
642,100.0,100.0
704,33.33333333333333,66.66666666666666
703,100.0,100.0
790,66.66666666666666,100.0
3884,100.0,100.0
161,33.33333333333333,83.33333333333334
-45,41.935483870967744,87.09677419354838
193,38.46153846153847,84.61538461538461
1934,0.0,100.0
365,50.0,50.0
443,42.857142857142854,100.0
6,45.207615296241585,92.09748892171345
